A	XLV
AA	XLB
AAL	XLI
AAP	XLY
AAPL	XLK
ABBV	XLV
ABC	XLV
ABT	XLV
ACE	XLF
ACE	XLFS
ACN	XLK
ADBE	XLK
ADI	XLK
ADM	XLP
ADP	XLK
ADS	XLK
ADSK	XLK
ADT	XLI
AEE	XLU
AEP	XLU
AES	XLU
AET	XLV
AFL	XLF
AFL	XLFS
AGN	XLV
AIG	XLF
AIG	XLFS
AIV	XLF
AIV	XLRE
AIZ	XLF
AIZ	XLFS
AKAM	XLK
ALL	XLF
ALL	XLFS
ALLE	XLI
ALXN	XLV
AMAT	XLK
AME	XLI
AMG	XLF
AMG	XLFS
AMGN	XLV
AMP	XLF
AMP	XLFS
AMT	XLF
AMT	XLRE
AMZN	XLY
AN	XLY
ANTM	XLV
AON	XLF
AON	XLFS
APA	XLE
APC	XLE
APD	XLB
APH	XLK
ARG	XLB
ATVI	XLK
AVB	XLF
AVB	XLRE
AVGO	XLK
AVY	XLB
AXP	XLF
AXP	XLFS
AZO	XLY
BA	XLI
BAC	XLF
BAC	XLFS
BAX	XLV
BBBY	XLY
BBT	XLF
BBT	XLFS
BBY	XLY
BCR	XLV
BDX	XLV
BEN	XLF
BEN	XLFS
BF-B	XLP
BHI	XLE
BIIB	XLV
BK	XLF
BK	XLFS
BLK	XLF
BLK	XLFS
BLL	XLB
BMY	XLV
BRCM	XLK
BRK-B	XLF
BRK-B	XLFS
BSX	XLV
BWA	XLY
BXLT	XLV
BXP	XLF
BXP	XLRE
C	XLF
C	XLFS
CA	XLK
CAG	XLP
CAH	XLV
CAM	XLE
CAT	XLI
CB	XLF
CB	XLFS
CBG	XLF
CBG	XLRE
CBS	XLY
CCE	XLP
CCI	XLF
CCI	XLRE
CCL	XLY
CELG	XLV
CERN	XLV
CF	XLB
CHD	XLP
CHK	XLE
CHRW	XLI
CI	XLV
CINF	XLF
CINF	XLFS
CL	XLP
CLX	XLP
CMA	XLF
CMA	XLFS
CMCSA	XLY
CME	XLF
CME	XLFS
CMG	XLY
CMI	XLI
CMS	XLU
CNP	XLU
CNX	XLE
COF	XLF
COF	XLFS
COG	XLE
COH	XLY
COL	XLI
COP	XLE
COST	XLP
CPB	XLP
CPGX	XLE
CRM	XLK
CSCO	XLK
CSRA	XLK
CSX	XLI
CTAS	XLI
CTL	XLK
CTSH	XLK
CTXS	XLK
CVC	XLY
CVS	XLP
CVX	XLE
D	XLU
DAL	XLI
DD	XLB
DE	XLI
DFS	XLF
DFS	XLFS
DG	XLY
DGX	XLV
DHI	XLY
DHR	XLI
DIS	XLY
DISCA	XLY
DISCK	XLY
DLPH	XLY
DLTR	XLY
DNB	XLI
DO	XLE
DOV	XLI
DOW	XLB
DPS	XLP
DRI	XLY
DTE	XLU
DUK	XLU
DVA	XLV
DVN	XLE
EA	XLK
EBAY	XLK
ECL	XLB
ED	XLU
EFX	XLI
EIX	XLU
EL	XLP
EMC	XLK
EMN	XLB
EMR	XLI
ENDP	XLV
EOG	XLE
EQIX	XLF
EQIX	XLRE
EQR	XLF
EQR	XLRE
EQT	XLE
ES	XLU
ESRX	XLV
ESS	XLF
ESS	XLRE
ESV	XLE
ETFC	XLF
ETFC	XLFS
ETN	XLI
ETR	XLU
EW	XLV
EXC	XLU
EXPD	XLI
EXPE	XLY
F	XLY
FAST	XLI
FB	XLK
FCX	XLB
FDX	XLI
FE	XLU
FFIV	XLK
FIS	XLK
FISV	XLK
FITB	XLF
FITB	XLFS
FLIR	XLK
FLR	XLI
FLS	XLI
FMC	XLB
FOX	XLY
