FOXA	XLY
FSLR	XLK
FTI	XLE
FTR	XLK
GAS	XLU
GD	XLI
GE	XLI
GGP	XLF
GGP	XLRE
GILD	XLV
GIS	XLP
GLW	XLK
GM	XLY
GMCR	XLP
GME	XLY
GOOG	XLK
GOOGL	XLK
GPC	XLY
GPS	XLY
GRMN	XLY
GS	XLF
GS	XLFS
GT	XLY
GWW	XLI
HAL	XLE
HAR	XLY
HAS	XLY
HBAN	XLF
HBAN	XLFS
HBI	XLY
HCA	XLV
HCN	XLF
HCN	XLRE
HCP	XLF
HCP	XLRE
HD	XLY
HES	XLE
HIG	XLF
HIG	XLFS
HOG	XLY
HON	XLI
HOT	XLY
HP	XLE
HPE	XLK
HPQ	XLK
HRB	XLY
HRL	XLP
HRS	XLK
HSIC	XLV
HST	XLF
HST	XLRE
HSY	XLP
HUM	XLV
IBM	XLK
ICE	XLF
ICE	XLFS
IFF	XLB
ILMN	XLV
INTC	XLK
INTU	XLK
IP	XLB
IPG	XLY
IR	XLI
IRM	XLF
IRM	XLRE
ISRG	XLV
ITW	XLI
IVZ	XLF
IVZ	XLFS
JBHT	XLI
JCI	XLY
JEC	XLI
JNJ	XLV
JNPR	XLK
JPM	XLF
JPM	XLFS
JWN	XLY
K	XLP
KEY	XLF
KEY	XLFS
KHC	XLP
KIM	XLF
KIM	XLRE
KLAC	XLK
KMB	XLP
KMI	XLE
KMX	XLY
KO	XLP
KORS	XLY
KR	XLP
KSS	XLY
KSU	XLI
L	XLF
L	XLFS
LB	XLY
LEG	XLY
LEN	XLY
LH	XLV
LLL	XLI
LLTC	XLK
LLY	XLV
LM	XLF
LM	XLFS
LMT	XLI
LNC	XLF
LNC	XLFS
LOW	XLY
LRCX	XLK
LUK	XLF
LUK	XLFS
LUV	XLI
LVLT	XLK
LYB	XLB
M	XLY
MA	XLK
MAC	XLF
MAC	XLRE
MAR	XLY
MAS	XLI
MAT	XLY
MCD	XLY
MCHP	XLK
MCK	XLV
MCO	XLF
MCO	XLFS
MDLZ	XLP
MDT	XLV
MET	XLF
MET	XLFS
MHFI	XLF
MHFI	XLFS
MHK	XLY
MJN	XLP
MKC	XLP
MLM	XLB
MMC	XLF
MMC	XLFS
MMM	XLI
MNK	XLV
MNST	XLP
MO	XLP
MON	XLB
MOS	XLB
MPC	XLE
MRK	XLV
MRO	XLE
MS	XLF
MS	XLFS
MSFT	XLK
MSI	XLK
MTB	XLF
MTB	XLFS
MU	XLK
MUR	XLE
MYL	XLV
NAVI	XLF
NAVI	XLFS
NBL	XLE
NDAQ	XLF
NDAQ	XLFS
NEE	XLU
NEM	XLB
NFLX	XLY
NFX	XLE
NI	XLU
NKE	XLY
NLSN	XLI
NOC	XLI
NOV	XLE
NRG	XLU
NSC	XLI
NTAP	XLK
NTRS	XLF
NTRS	XLFS
NUE	XLB
NVDA	XLK
NWL	XLY
NWS	XLY
NWSA	XLY
O	XLF
O	XLRE
OI	XLB
OKE	XLE
OMC	XLY
ORCL	XLK
ORLY	XLY
OXY	XLE
PAYX	XLK
PBCT	XLF
PBCT	XLFS
PBI	XLI
PCAR	XLI
PCG	XLU
PCL	XLF
PCL	XLRE
PCLN	XLY
PCP	XLI
PDCO	XLV
PEG	XLU
PEP	XLP
PFE	XLV
PFG	XLF
PFG	XLFS
PG	XLP
PGR	XLF
PGR	XLFS
PH	XLI
PHM	XLY
PKI	XLV
PLD	XLF
PLD	XLRE
PM	XLP
PNC	XLF
PNC	XLFS
PNR	XLI
PNW	XLU
POM	XLU
PPG	XLB
PPL	XLU
PRGO	XLV
PRU	XLF
PRU	XLFS
PSA	XLF
PSA	XLRE
PSX	XLE
PVH	XLY
PWR	XLI
PX	XLB
PXD	XLE
PYPL	XLK
QCOM	XLK
QRVO	XLK
R	XLI
RAI	XLP
RCL	XLY
REGN	XLV
RF	XLF
RF	XLFS
RHI	XLI
RHT	XLK
RIG	XLE
RL	XLY
ROK	XLI
ROP	XLI
ROST	XLY
RRC	XLE
RSG	XLI
RTN	XLI
SBUX	XLY
SCG	XLU
SCHW	XLF
SCHW	XLFS
SE	XLE
SEE	XLB
SHW	XLB
SIG	XLY
SJM	XLP
SLB	XLE
SLG	XLF
SLG	XLRE
SNA	XLI
SNDK	XLK
SNI	XLY
SO	XLU
SPG	XLF
SPG	XLRE
SPLS	XLY
SRCL	XLI
SRE	XLU
STI	XLF
STI	XLFS
STJ	XLV
STT	XLF
STT	XLFS
STX	XLK
STZ	XLP
SWK	XLI
SWKS	XLK
SWN	XLE
SYF	XLF
SYF	XLFS
SYK	XLV
SYMC	XLK
SYY	XLP
T	XLK
TAP	XLP
TDC	XLK
TE	XLU
TEL	XLK
TGNA	XLY
TGT	XLY
THC	XLV
TIF	XLY
TJX	XLY
TMK	XLF
TMK	XLFS
TMO	XLV
TRIP	XLY
TROW	XLF
TROW	XLFS
TRV	XLF
TRV	XLFS
TSCO	XLY
TSN	XLP
TSO	XLE
TSS	XLK
TWC	XLY
TWX	XLY
TXN	XLK
TXT	XLI
TYC	XLI
UA	XLY
UAL	XLI
UHS	XLV
UNH	XLV
UNM	XLF
UNM	XLFS
UNP	XLI
UPS	XLI
URBN	XLY
URI	XLI
USB	XLF
USB	XLFS
UTX	XLI
V	XLK
VAR	XLV
VFC	XLY
VIAB	XLY
VLO	XLE
VMC	XLB
VNO	XLF
VNO	XLRE
VRSK	XLI
VRSN	XLK
VRTX	XLV
VTR	XLF
VTR	XLRE
VZ	XLK
WAT	XLV
WBA	XLP
WDC	XLK
WEC	XLU
WFC	XLF
WFC	XLFS
WFM	XLP
WHR	XLY
WLTW	XLF
WLTW	XLFS
WM	XLI
WMB	XLE
WMT	XLP
WRK	XLB
WU	XLK
WY	XLF
WY	XLRE
WYN	XLY
WYNN	XLY
XEC	XLE
XEL	XLU
XL	XLF
XL	XLFS
XLNX	XLK
XOM	XLE
XRAY	XLV
XRX	XLK
XYL	XLI
YHOO	XLK
YUM	XLY
ZBH	XLV
ZION	XLF
ZION	XLFS
ZTS	XLV
XLB	SPY
XLE	SPY
XLF	SPY
XLFS	SPY
XLI	SPY
XLK	SPY
XLP	SPY
XLRE	SPY
XLU	SPY
XLV	SPY
XLY	SPY
SPY	NA
ALTR	NA
ATI	NA
CSC	NA
FOSL	NA
GNW	NA
JOY	NA
NE	NA
QEP	NA
